feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
Spectral centroid,French,0.581945277499723,0.00933137757534374,0.563648539654643,0.600242015344803,common language effect size,39
f0,English,0.973067548718249,0.0022688773296058,0.968618401247517,0.97751669618898,common language effect size,40
-|Δf0|,English,0.739061310054446,0.00731960946695161,0.724709980976898,0.753412639131994,common language effect size,40
Spectral centroid,English,0.731994528947576,0.00815816884798977,0.715999174149446,0.747989883745705,common language effect size,40
f0,Azerbaijani,0.900734711114175,0.00463200037459802,0.891652459679698,0.909816962548653,common language effect size,41
-|Δf0|,Azerbaijani,0.661609153796654,0.00748889582261631,0.646927325305474,0.676290982287833,common language effect size,41
Spectral centroid,Azerbaijani,0.418019618310791,0.00931295648316837,0.399760100520869,0.436279136100713,common language effect size,41
f0,Russian,0.997941193899865,0.000419213796604291,0.997119133091663,0.998763254708067,common language effect size,42
-|Δf0|,Russian,0.793075337395787,0.00634577404050603,0.780634124907636,0.805516549883937,common language effect size,42
Spectral centroid,Russian,0.693941529235382,0.00901821424783231,0.676258957309905,0.711624101160859,common language effect size,42
f0,Urdu,0.799053665942785,0.00673604893229085,0.785846931298137,0.812260400587433,common language effect size,43
-|Δf0|,Urdu,0.665567212868169,0.00845266690306172,0.648994899501014,0.682139526235323,common language effect size,43
Spectral centroid,Urdu,0.40394825,0.00897144712427651,0.38635896818771,0.421537531812289,common language effect size,43
f0,Lithuanian,0.939293595944105,0.00328215284344149,0.932858112174702,0.945729079713509,common language effect size,44
-|Δf0|,Lithuanian,0.694120938821892,0.00713350475605505,0.680136345970109,0.708105531673675,common language effect size,44
Spectral centroid,Lithuanian,0.618984661691954,0.00976814075197494,0.599829758983929,0.63813956439998,common language effect size,44
f0,Korean,0.862464181402798,0.00456996135963954,0.853505305398231,0.871423057407364,common language effect size,45
-|Δf0|,Korean,0.788467924879159,0.00629297420687952,0.77613009895282,0.800805750805497,common language effect size,45
Spectral centroid,Korean,0.696592233618323,0.0087452769846215,0.679444608494228,0.713739858742419,common language effect size,45
f0,Farsi,0.958334457290082,0.00340284275627916,0.951662047141363,0.965006867438801,common language effect size,46
