feature,name,lang,sex,type,mean,std,groupid
-|Δf0|,Pitch stability,Polish,F,song,-2474.20484627184,2402.67282252319,48
Spectral centroid,Timbral brightness,Polish,F,song,1077.06271994636,1626.2507086948,48
f0,Pitch height,Polish,F,desc,-1190.09308148861,717.84181906994,48
-|Δf0|,Pitch stability,Polish,F,desc,-3309.28411562916,3096.99818906984,48
Spectral centroid,Timbral brightness,Polish,F,desc,1289.83500908198,1553.96513350814,48
f0,Pitch height,Polish,F,song,-904.815252121969,302.918447247282,49
-|Δf0|,Pitch stability,Polish,F,song,-2910.51574360889,2849.53917341732,49
Spectral centroid,Timbral brightness,Polish,F,song,1237.44768216141,1862.98271624217,49
f0,Pitch height,Polish,F,desc,-1215.15092776643,620.91842001098,49
-|Δf0|,Pitch stability,Polish,F,desc,-2545.4684683488,1880.63602483872,49
Spectral centroid,Timbral brightness,Polish,F,desc,1438.16991640518,2063.67842329345,49
f0,Pitch height,Polish,F,song,-1216.2452999285,238.629867166216,50
-|Δf0|,Pitch stability,Polish,F,song,-2357.48293245098,2131.65445423272,50
Spectral centroid,Timbral brightness,Polish,F,song,991.92253747582,1616.26330685855,50
f0,Pitch height,Polish,F,desc,-1125.54791782031,381.30343668884,50
-|Δf0|,Pitch stability,Polish,F,desc,-3180.1753434743,2752.67123351348,50
Spectral centroid,Timbral brightness,Polish,F,desc,1119.81436048401,1429.96400452175,50
f0,Pitch height,Polish,F,song,-888.168337118576,277.456618526549,51
-|Δf0|,Pitch stability,Polish,F,song,-1485.89376498286,1886.5589633415,51
Spectral centroid,Timbral brightness,Polish,F,song,1103.08958917929,1207.06888831883,51
f0,Pitch height,Polish,F,desc,-1239.15316467013,662.965158382255,51
-|Δf0|,Pitch stability,Polish,F,desc,-1744.66666668196,2022.56231095874,51
Spectral centroid,Timbral brightness,Polish,F,desc,1474.53747375646,1597.21628810094,51
f0,Pitch height,Polish,F,song,-1106.23229867536,165.664158144717,52
-|Δf0|,Pitch stability,Polish,F,song,-2093.52744716492,1895.38502227305,52
Spectral centroid,Timbral brightness,Polish,F,song,804.753046188772,857.843000727502,52
f0,Pitch height,Polish,F,desc,-1093.24665274235,338.917575964651,52
-|Δf0|,Pitch stability,Polish,F,desc,-1760.18110718985,1743.3447406547,52
Spectral centroid,Timbral brightness,Polish,F,desc,955.776278747375,1144.40795869064,52
f0,Pitch height,Polish,F,song,-724.077437222663,310.432525955303,53
-|Δf0|,Pitch stability,Polish,F,song,-2451.77745942814,2412.86016528627,53
Spectral centroid,Timbral brightness,Polish,F,song,943.096589222573,1300.14540982715,53
f0,Pitch height,Polish,F,desc,-815.149731145425,380.469009963572,53
-|Δf0|,Pitch stability,Polish,F,desc,-2886.76548723685,3026.50167647532,53
Spectral centroid,Timbral brightness,Polish,F,desc,1125.69575455792,1343.47799980573,53
f0,Pitch height,Polish,F,song,-937.248452922365,314.565086770091,54
-|Δf0|,Pitch stability,Polish,F,song,-2062.16674037704,2286.77680584564,54
Spectral centroid,Timbral brightness,Polish,F,song,964.904141506752,958.667354969865,54
f0,Pitch height,Polish,F,desc,-1285.11438761865,310.131001110978,54
-|Δf0|,Pitch stability,Polish,F,desc,-2645.08374532287,2489.36824629207,54
Spectral centroid,Timbral brightness,Polish,F,desc,1268.48563354252,1417.57625402207,54
f0,Pitch height,Polish,F,song,-1265.54606116925,278.090480659875,55
-|Δf0|,Pitch stability,Polish,F,song,-2382.27868815126,2199.61535226115,55
Spectral centroid,Timbral brightness,Polish,F,song,1009.70743305838,1425.63816378499,55
f0,Pitch height,Polish,F,desc,-1428.69086444462,343.844926452108,55
-|Δf0|,Pitch stability,Polish,F,desc,-3221.12637765096,3615.18241031284,55
Spectral centroid,Timbral brightness,Polish,F,desc,1398.61498013682,1600.80785311741,55
f0,Pitch height,Polish,F,song,-766.54017621234,320.907483194897,56
-|Δf0|,Pitch stability,Polish,F,song,-2673.70882410236,3237.5855216257,56
Spectral centroid,Timbral brightness,Polish,F,song,1096.64634614607,1308.99646651007,56
f0,Pitch height,Polish,F,desc,-947.443883672336,275.576414923971,56
-|Δf0|,Pitch stability,Polish,F,desc,-2635.6505739413,2826.02306735656,56
Spectral centroid,Timbral brightness,Polish,F,desc,1343.02423161225,1312.04752635879,56
f0,Pitch height,Polish,F,song,-1131.93252307357,252.129173192208,57
-|Δf0|,Pitch stability,Polish,F,song,-2535.01869004758,2385.55600414975,57
Spectral centroid,Timbral brightness,Polish,F,song,836.02652091628,1283.66283002587,57
f0,Pitch height,Polish,F,desc,-1191.23879640116,308.542330332031,57
-|Δf0|,Pitch stability,Polish,F,desc,-2050.13332764286,2159.04910839013,57
Spectral centroid,Timbral brightness,Polish,F,desc,1091.08676930532,1364.69697151932,57
