feature,lang,diff,stderr,ci95_l,ci95_u,method,groupid
f0,Slovenian,0.960733463053053,0.00337872935036205,0.95410852369914,0.967358402406966,common language effect size,56
-|Δf0|,Slovenian,0.619731324745403,0.00964001371176862,0.600830084669887,0.638632564820919,common language effect size,56
Spectral centroid,Slovenian,0.590573815277691,0.00542096070601793,0.579947592225543,0.601200038329838,common language effect size,56
f0,Portuguese,0.937680173950458,0.00556092414506138,0.926772242199689,0.948588105701227,common language effect size,57
-|Δf0|,Portuguese,0.489660550740672,0.0120263199067677,0.466076898850164,0.513244202631181,common language effect size,57
Spectral centroid,Portuguese,0.730221982311018,0.00643040340708948,0.717615227522007,0.74282873710003,common language effect size,57
f0,Polish,0.47252232891027,0.0102624044445955,0.452400479174733,0.492644178645807,common language effect size,58
-|Δf0|,Polish,0.608449693408782,0.0099782412820938,0.588885233248245,0.628014153569318,common language effect size,58
Spectral centroid,Polish,0.413564359340876,0.00578860146325704,0.40221749940763,0.424911219274122,common language effect size,58
f0,DutchFlemish,0.854196459832238,0.00662438755729987,0.841208342618802,0.867184577045674,common language effect size,59
-|Δf0|,DutchFlemish,0.527731375778526,0.009594369809352,0.508920436317741,0.546542315239311,common language effect size,59
Spectral centroid,DutchFlemish,0.478760043999088,0.00539902330185705,0.468177012421707,0.489343075576469,common language effect size,59
f0,Japanese,0.887874166876025,0.00791566583663831,0.872346077815719,0.903402255936331,common language effect size,60
-|Δf0|,Japanese,0.530264013477766,0.0126035214339813,0.505546923024715,0.554981103930817,common language effect size,60
Spectral centroid,Japanese,0.45574439462896,0.00694224236766427,0.442135382601178,0.469353406656741,common language effect size,60
f0,Guarani,0.812149185255498,0.0113203657785878,0.789943267186317,0.834355103324678,common language effect size,61
-|Δf0|,Guarani,0.745722195855086,0.0125372322633321,0.72113056433796,0.770313827372212,common language effect size,61
Spectral centroid,Guarani,0.475679121202102,0.0078402386204765,0.460308437655291,0.491049804748913,common language effect size,61
f0,Spanish,0.887950095940517,0.00905424172240391,0.870180807704426,0.905719384176608,common language effect size,62
-|Δf0|,Spanish,0.571180555555556,0.0126239314582197,0.54642215589996,0.595938955211151,common language effect size,62
Spectral centroid,Spanish,0.48989534488009,0.00733722678118062,0.475511016045926,0.504279673714254,common language effect size,62
f0,Dutch,0.655973971505916,0.0104435915270752,0.635494526914518,0.676453416097314,common language effect size,63
-|Δf0|,Dutch,0.646104495253104,0.0104482296494117,0.625616340046096,0.666592650460113,common language effect size,63
Spectral centroid,Dutch,0.454161757707308,0.00561005646539165,0.443164975680416,0.4651585397342,common language effect size,63
f0,Cantonese,0.907421033326232,0.00514079137399437,0.897340712739321,0.917501353913142,common language effect size,64
-|Δf0|,Cantonese,0.641069918534902,0.0102067188489716,0.621055426247864,0.66108441082194,common language effect size,64
Spectral centroid,Cantonese,0.621268910001428,0.00576362565372516,0.609970928244759,0.632566891758098,common language effect size,64
f0,Burmese,0.867357165275377,0.00543156578907414,0.856706582066847,0.878007748483907,common language effect size,65
-|Δf0|,Burmese,0.647474280170868,0.00908697580065524,0.629652503418348,0.665296056923387,common language effect size,65
Spectral centroid,Burmese,0.629605465593664,0.00536321228127055,0.619091688431586,0.640119242755742,common language effect size,65
f0,Rikbaktsa,0.470327759104194,0.0159686392271431,0.438963260631209,0.501692257577179,common language effect size,66
-|Δf0|,Rikbaktsa,0.435982610168666,0.0158743163814176,0.404802943616833,0.467162276720498,common language effect size,66
Spectral centroid,Rikbaktsa,0.271482773098644,0.00562650432576228,0.260452773732772,0.282512772464515,common language effect size,66
f0,Gaeilge,0.891569457542621,0.00675377056592776,0.878320872290492,0.904818042794751,common language effect size,67
-|Δf0|,Gaeilge,0.697667372337731,0.0100815283634546,0.677897445092196,0.717437299583267,common language effect size,67
Spectral centroid,Gaeilge,0.336534347979244,0.00591350891610832,0.324942214395329,0.348126481563159,common language effect size,67
