feature,lang,diff,stderr,ci95_l,ci95_u,method
-|Δf0|,Kuikuro,0.999691928527418,0.000435678854705205,NaN,NaN,common language effect size
Spectral centroid,Kuikuro,0.999746707193516,0.000358210122181635,NaN,NaN,common language effect size
f0,Ainu,0.999675955930006,0.000458267518591411,NaN,NaN,common language effect size
-|Δf0|,Ainu,0.999675955930006,0.000458267518591411,NaN,NaN,common language effect size
Spectral centroid,Ainu,0.999749624436655,0.000354084517369328,NaN,NaN,common language effect size
f0,Slovenian,0.999734888653234,0.000374924062134967,NaN,NaN,common language effect size
-|Δf0|,Slovenian,0.999734888653234,0.000374924062134967,NaN,NaN,common language effect size
Spectral centroid,Slovenian,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size
f0,Portuguese,0.999750499001996,0.000352847695202868,NaN,NaN,common language effect size
-|Δf0|,Portuguese,0.999750499001996,0.000352847695202868,NaN,NaN,common language effect size
Spectral centroid,Portuguese,0.999745547073791,0.000359850779229795,NaN,NaN,common language effect size
f0,Polish,0.932155104067371,0.00335531666959223,0.925576835175656,0.938733372959086,common language effect size
-|Δf0|,Polish,0.88396229604479,0.00453487852295474,0.875071667713593,0.892852924375988,common language effect size
Spectral centroid,Polish,0.408209,0.00929280486748498,0.389988443969046,0.426429556030955,common language effect size
f0,DutchFlemish,0.999919160666033,4.70166941154147e-05,0.999826961577716,1.00001135975435,common language effect size
-|Δf0|,DutchFlemish,0.929185777952232,0.00382466317178194,0.921686335017016,0.936685220887448,common language effect size
Spectral centroid,DutchFlemish,0.384041862127407,0.00957531055040875,0.365265102293097,0.402818621961718,common language effect size
f0,Japanese,0.999999929224184,1.00092119139274e-07,0.999999733002152,1.00000012544622,common language effect size
-|Δf0|,Japanese,0.951461237500991,0.00257730631812592,0.94640866139403,0.956513813607952,common language effect size
Spectral centroid,Japanese,0.677636194396555,0.00867791411982438,0.660621667934483,0.694650720858626,common language effect size
f0,Guarani,0.999773755656109,0.000319957819541424,NaN,NaN,common language effect size
-|Δf0|,Guarani,0.999773755656109,0.000319957819541424,NaN,NaN,common language effect size
Spectral centroid,Guarani,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size
f0,Spanish,0.900910795278325,0.00464788390670108,0.8917986380652,0.910022952491449,common language effect size
-|Δf0|,Spanish,0.892511279321597,0.00476533365312789,0.883168337489993,0.901854221153202,common language effect size
Spectral centroid,Spanish,0.331345727199873,0.00853471079688899,0.314612428465655,0.348079025934091,common language effect size
f0,Dutch,0.999759961593855,0.000339465569460657,NaN,NaN,common language effect size
-|Δf0|,Dutch,0.999759961593855,0.000339465569460657,NaN,NaN,common language effect size
Spectral centroid,Dutch,0.99975024975025,0.000353200190402871,NaN,NaN,common language effect size
f0,Cantonese,0.999999919756252,1.13481797297318e-07,0.999999697280503,1.000000142232,common language effect size
-|Δf0|,Cantonese,0.873911874710621,0.00520921507901404,0.863698996951637,0.884124752469605,common language effect size
Spectral centroid,Cantonese,0.951051696928758,0.00437637247944288,0.942469035264767,0.95963435859275,common language effect size
f0,Burmese,0.999779249448124,0.000312188424364922,NaN,NaN,common language effect size
-|Δf0|,Burmese,0.999779249448124,0.000312188424364922,NaN,NaN,common language effect size
Spectral centroid,Burmese,0.999750124937531,0.000353376702242153,NaN,NaN,common language effect size
f0,Gaeilge,0.999999928249906,1.01469955822972e-07,0.999999729325205,1.00000012717461,common language effect size
-|Δf0|,Gaeilge,0.917543931147462,0.00389888590302863,0.909900438116982,0.925187424177942,common language effect size
Spectral centroid,Gaeilge,0.665252080586746,0.00959450039225114,0.646436986313061,0.684067174860431,common language effect size
